ion	r_sq.data_pollen.	log2FC_PE1X_H20
518	0.870504243	3.271336842
519	0.966319023	4.621965
520	0.941941199	4.190132367
521	0.962427035	5.429180826
522	0.971327978	6.032185077
523	0.790716912	2.447784865
524	0.884661253	5.317350983
525	0.958052217	5.888997445
526	0.954303099	3.360742009
527	0.943104465	3.681938364
528	0.946293404	3.042700842
529	0.88965985	3.428194811
530	0.949974158	5.364545366
531	0.863833489	0.999799499
532	0.866899044	4.617651884
533	0.962801719	3.919420243
534	0.979582819	5.254678035
535	0.928171562	3.316733831
536	0.873057782	3.197650623
537	0.952548217	3.479574031
538	0.914330991	3.715973749
539	0.935910233	3.491397912
540	0.948107038	5.755289568
541	0.982357151	6.539602712
542	0.969007175	5.20971793
543	0.945030057	2.939270882
544	0.761898048	2.571383629
545	0.90910399	4.379745944
546	0.951445215	4.163158596
547	0.909655824	3.889065624
548	0.911190882	2.840132903
549	0.943746331	2.964222546
550	0.949103127	3.863306989
