ionIdx	ionMz		001 / F5_185_PE_T16_1_F5_185_PE	002 / F5_185_PE_T16_1_F5_185_PE	003 / F5_262_PE_T0_1_F5_262_PE	004 / F5_262_PE_T0_1_F5_262_PE	005 / Neg_PE_T0_3_no_PE	006 / Neg_PE_T0_3_no_PE	007 / F5_351_PE_T0_3_F5_351_PE	008 / F5_351_PE_T0_3_F5_351_PE	009 / F5_186_PE_T16_5_F5_186_PE	010 / F5_186_PE_T16_5_F5_186_PE	011 / F5_186_PE_T16_3_F5_186_PE	012 / F5_186_PE_T16_3_F5_186_PE	013 / F5_259_PE_T16_1_F5_259_PE	014 / F5_259_PE_T16_1_F5_259_PE	015 / F5_261_PE_T0_3_F5_261_PE	016 / F5_261_PE_T0_3_F5_261_PE	017 / F5_352_PE_T0_2_F5_352_PE	018 / F5_352_PE_T0_2_F5_352_PE	019 / F5_353_PE_T0_3_F5_353_PE	020 / F5_353_PE_T0_3_F5_353_PE	021 / F5_186_PE_T0_5_F5_186_PE	022 / F5_186_PE_T0_5_F5_186_PE	023 / F5_260_PE_T0_3_F5_260_PE	024 / F5_260_PE_T0_3_F5_260_PE	025 / F5_353_PE_T0_1_F5_353_PE	026 / F5_353_PE_T0_1_F5_353_PE	027 / F5_185_PE_T16_3_F5_185_PE	028 / F5_185_PE_T16_3_F5_185_PE	029 / F5_184_PE_T0_5_F5_184_PE	030 / F5_184_PE_T0_5_F5_184_PE	031 / F5_184_PE_T16_3_F5_184_PE	032 / F5_184_PE_T16_3_F5_184_PE	033 / F5_186_PE_T0_1_F5_186_PE	034 / F5_186_PE_T0_1_F5_186_PE	035 / F5_184_PE_T0_3_F5_184_PE	036 / F5_184_PE_T0_3_F5_184_PE	037 / Neg_PE_T0_2_no_PE	038 / Neg_PE_T0_2_no_PE	039 / F5_183_PE_T0_3_F5_183_PE	040 / F5_183_PE_T0_3_F5_183_PE	041 / F5_260_PE_T0_2_F5_260_PE	042 / F5_260_PE_T0_2_F5_260_PE	043 / F5_184_PE_T0_4_F5_184_PE	044 / F5_184_PE_T0_4_F5_184_PE	045 / F5_185_PE_T0_1_F5_185_PE	046 / F5_185_PE_T0_1_F5_185_PE	047 / F5_184_PE_T0_1_F5_184_PE	048 / F5_184_PE_T0_1_F5_184_PE	049 / F5_350_PE_T0_1_F5_350_PE	050 / F5_350_PE_T0_1_F5_350_PE	051 / F5_263_PE_T0_1_F5_263_PE	052 / F5_263_PE_T0_1_F5_263_PE	053 / F5_184_PE_T16_4_F5_184_PE	054 / F5_184_PE_T16_4_F5_184_PE	055 / F5_259_PE_T0_1_F5_259_PE	056 / F5_259_PE_T0_1_F5_259_PE	057 / F5_352_PE_T0_3_F5_352_PE	058 / F5_352_PE_T0_3_F5_352_PE	059 / F5_259_PE_T0_4_F5_259_PE	060 / F5_259_PE_T0_4_F5_259_PE	061 / F5_261_PE_T0_4_F5_261_PE	062 / F5_261_PE_T0_4_F5_261_PE	063 / F5_260_PE_T0_4_F5_260_PE	064 / F5_260_PE_T0_4_F5_260_PE	065 / F5_183_PE_T0_4_F5_183_PE	066 / F5_183_PE_T0_4_F5_183_PE	067 / F5_185_PE_T0_3_F5_185_PE	068 / F5_185_PE_T0_3_F5_185_PE	069 / F5_260_PE_T0_5_F5_260_PE	070 / F5_260_PE_T0_5_F5_260_PE	071 / F5_354_PE_T0_5_F5_354_PE	072 / F5_354_PE_T0_5_F5_354_PE	073 / F5_352_PE_T0_4_F5_352_PE	074 / F5_352_PE_T0_4_F5_352_PE	075 / F5_351_PE_T0_1_F5_351_PE	076 / F5_351_PE_T0_1_F5_351_PE	077 / F5_350_PE_T0_5_F5_350_PE	078 / F5_350_PE_T0_5_F5_350_PE	079 / F5_259_PE_T0_2_F5_259_PE	080 / F5_259_PE_T0_2_F5_259_PE	081 / F5_261_PE_T0_1_F5_261_PE	082 / F5_261_PE_T0_1_F5_261_PE	083 / F5_185_PE_T0_5_F5_185_PE	084 / F5_185_PE_T0_5_F5_185_PE	085 / F5_185_PE_T0_2_F5_185_PE	086 / F5_185_PE_T0_2_F5_185_PE	087 / F5_186_PE_T0_4_F5_186_PE	088 / F5_186_PE_T0_4_F5_186_PE	089 / F5_263_PE_T0_2_F5_263_PE	090 / F5_263_PE_T0_2_F5_263_PE	091 / F5_183_PE_T0_5_F5_183_PE	092 / F5_183_PE_T0_5_F5_183_PE	093 / F5_186_PE_T16_2_F5_186_PE	094 / F5_186_PE_T16_2_F5_186_PE	095 / F5_183_PE_T16_1_F5_183_PE	096 / F5_183_PE_T16_1_F5_183_PE	097 / F5_262_PE_T0_4_F5_262_PE	098 / F5_262_PE_T0_4_F5_262_PE	099 / F5_350_PE_T0_2_F5_350_PE	100 / F5_350_PE_T0_2_F5_350_PE	101 / F5_185_PE_T16_2_F5_185_PE	102 / F5_185_PE_T16_2_F5_185_PE	103 / F5_353_PE_T0_5_F5_353_PE	104 / F5_353_PE_T0_5_F5_353_PE	105 / Neg_PE_T0_5_no_PE	106 / Neg_PE_T0_5_no_PE	107 / F5_186_PE_T16_1_F5_186_PE	108 / F5_186_PE_T16_1_F5_186_PE	109 / F5_261_PE_T0_2_F5_261_PE	110 / F5_261_PE_T0_2_F5_261_PE	111 / F5_263_PE_T0_5_F5_263_PE	112 / F5_263_PE_T0_5_F5_263_PE	113 / F5_263_PE_T0_4_F5_263_PE	114 / F5_263_PE_T0_4_F5_263_PE	115 / F5_184_PE_T16_2_F5_184_PE	116 / F5_184_PE_T16_2_F5_184_PE	117 / F5_262_PE_T0_5_F5_262_PE	118 / F5_262_PE_T0_5_F5_262_PE	119 / F5_183_PE_T0_2_F5_183_PE	120 / F5_183_PE_T0_2_F5_183_PE	121 / F5_259_PE_T0_3_F5_259_PE	122 / F5_259_PE_T0_3_F5_259_PE	123 / F5_259_PE_T0_5_F5_259_PE	124 / F5_259_PE_T0_5_F5_259_PE	125 / F5_183_PE_T16_3_F5_183_PE	126 / F5_183_PE_T16_3_F5_183_PE	127 / F5_183_PE_T16_4_F5_183_PE	128 / F5_183_PE_T16_4_F5_183_PE	129 / F5_183_PE_T0_1_F5_183_PE	130 / F5_183_PE_T0_1_F5_183_PE	131 / F5_350_PE_T0_3_F5_350_PE	132 / F5_350_PE_T0_3_F5_350_PE	133 / F5_353_PE_T0_4_F5_353_PE	134 / F5_353_PE_T0_4_F5_353_PE	135 / F5_350_PE_T0_4_F5_350_PE	136 / F5_350_PE_T0_4_F5_350_PE	137 / F5_352_PE_T0_5_F5_352_PE	138 / F5_352_PE_T0_5_F5_352_PE	139 / F5_186_PE_T16_4_F5_186_PE	140 / F5_186_PE_T16_4_F5_186_PE	141 / Neg_PE_T0_1_no_PE	142 / Neg_PE_T0_1_no_PE	143 / F5_260_PE_T0_1_F5_260_PE	144 / F5_260_PE_T0_1_F5_260_PE	145 / F5_185_PE_T16_5_F5_185_PE	146 / F5_185_PE_T16_5_F5_185_PE	147 / F5_354_PE_T0_2_F5_354_PE	148 / F5_354_PE_T0_2_F5_354_PE	149 / F5_353_PE_T0_2_F5_353_PE	150 / F5_353_PE_T0_2_F5_353_PE	151 / F5_262_PE_T0_3_F5_262_PE	152 / F5_262_PE_T0_3_F5_262_PE	153 / Neg_PE_T0_4_no_PE	154 / Neg_PE_T0_4_no_PE	155 / F5_354_PE_T0_1_F5_354_PE	156 / F5_354_PE_T0_1_F5_354_PE	157 / F5_352_PE_T0_1_F5_352_PE	158 / F5_352_PE_T0_1_F5_352_PE	159 / F5_261_PE_T0_5_F5_261_PE	160 / F5_261_PE_T0_5_F5_261_PE	161 / F5_184_PE_T16_1_F5_184_PE	162 / F5_184_PE_T16_1_F5_184_PE	163 / F5_184_PE_T0_2_F5_184_PE	164 / F5_184_PE_T0_2_F5_184_PE	165 / F5_183_PE_T16_5_F5_183_PE	166 / F5_183_PE_T16_5_F5_183_PE	167 / F5_351_PE_T0_4_F5_351_PE	168 / F5_351_PE_T0_4_F5_351_PE	169 / F5_184_PE_T16_5_F5_184_PE	170 / F5_184_PE_T16_5_F5_184_PE	171 / F5_354_PE_T0_4_F5_354_PE	172 / F5_354_PE_T0_4_F5_354_PE	173 / F5_354_PE_T0_3_F5_354_PE	174 / F5_354_PE_T0_3_F5_354_PE	175 / F5_183_PE_T16_2_F5_183_PE	176 / F5_183_PE_T16_2_F5_183_PE	177 / F5_186_PE_T0_2_F5_186_PE	178 / F5_186_PE_T0_2_F5_186_PE	179 / F5_351_PE_T0_5_F5_351_PE	180 / F5_351_PE_T0_5_F5_351_PE	181 / F5_185_PE_T0_4_F5_185_PE	182 / F5_185_PE_T0_4_F5_185_PE	183 / F5_262_PE_T0_2_F5_262_PE	184 / F5_262_PE_T0_2_F5_262_PE	185 / F5_263_PE_T0_3_F5_263_PE	186 / F5_263_PE_T0_3_F5_263_PE	187 / F5_185_PE_T16_4_F5_185_PE	188 / F5_185_PE_T16_4_F5_185_PE	189 / F5_186_PE_T0_3_F5_186_PE	190 / F5_186_PE_T0_3_F5_186_PE	191 / F5_351_PE_T0_2_F5_351_PE	192 / F5_351_PE_T0_2_F5_351_PE	193 / F5_350_PE_T16_5_F5_350_PE	194 / F5_350_PE_T16_5_F5_350_PE	195 / cfMRS_3_no_no	196 / cfMRS_3_no_no	197 / F5_352_PE_T16_5_F5_352_PE	198 / F5_352_PE_T16_5_F5_352_PE	199 / F5_263_PE_T16_2_F5_263_PE	200 / F5_263_PE_T16_2_F5_263_PE	201 / F5_262_PE_T16_1_F5_262_PE	202 / F5_262_PE_T16_1_F5_262_PE	203 / F5_259_PE_T16_3_F5_259_PE	204 / F5_259_PE_T16_3_F5_259_PE	205 / F5_351_PE_T16_3_F5_351_PE	206 / F5_351_PE_T16_3_F5_351_PE	207 / Neg_PE_T16_5_no_PE	208 / Neg_PE_T16_5_no_PE	209 / F5_262_PE_T16_2_F5_262_PE	210 / F5_262_PE_T16_2_F5_262_PE	211 / F5_260_PE_T16_2_F5_260_PE	212 / F5_260_PE_T16_2_F5_260_PE	213 / F5_351_PE_T16_2_F5_351_PE	214 / F5_351_PE_T16_2_F5_351_PE	215 / cfMRS_2_no_no	216 / cfMRS_2_no_no	217 / F5_262_PE_T16_3_F5_262_PE	218 / F5_262_PE_T16_3_F5_262_PE	219 / Neg_PE_T16_4_no_PE	220 / Neg_PE_T16_4_no_PE	221 / F5_351_PE_T16_5_F5_351_PE	222 / F5_351_PE_T16_5_F5_351_PE	223 / F5_353_PE_T16_2_F5_353_PE	224 / F5_353_PE_T16_2_F5_353_PE	225 / F5_350_PE_T16_3_F5_350_PE	226 / F5_350_PE_T16_3_F5_350_PE	227 / F5_354_PE_T16_3_F5_354_PE	228 / F5_354_PE_T16_3_F5_354_PE	229 / F5_352_PE_T16_2_F5_352_PE	230 / F5_352_PE_T16_2_F5_352_PE	231 / F5_351_PE_T16_4_F5_351_PE	232 / F5_351_PE_T16_4_F5_351_PE	233 / F5_262_PE_T16_4_F5_262_PE	234 / F5_262_PE_T16_4_F5_262_PE	235 / F5_263_PE_T16_3_F5_263_PE	236 / F5_263_PE_T16_3_F5_263_PE	237 / F5_263_PE_T16_5_F5_263_PE	238 / F5_263_PE_T16_5_F5_263_PE	239 / F5_354_PE_T16_1_F5_354_PE	240 / F5_354_PE_T16_1_F5_354_PE	241 / F5_353_PE_T16_3_F5_353_PE	242 / F5_353_PE_T16_3_F5_353_PE	243 / F5_350_PE_T16_4_F5_350_PE	244 / F5_350_PE_T16_4_F5_350_PE	245 / F5_261_PE_T16_4_F5_261_PE
604	489.218		51848	51285	66849	68860	64642	64334	59481	67608	70080	72357	75873	75470	62922	66818	68103	69536	65149	64728	60432	60378	65587	68592	63383	61926	65934	68703	47293	48493	65535	68729	63289	61774	62187	63731	67712	64559	66435	63990	67212	65605	63122	62895	68879	68143	65371	64165	67980	66514	60731	62118	69545	70256	64346	64773	65085	66670	66803	70036	63320	59340	65569	67130	67925	67971	64907	64706	67441	63490	64690	67595	52911	54744	64252	63560	64790	63029	60033	59250	64019	64461	63588	64385	67432	63510	61912	66040	60721	62201	69594	63891	63806	63873	63367	67937	72227	72918	61031	62025	61873	61579	43094	46794	58431	52613	67778	67766	72034	68829	69778	68591	61390	62117	68276	69251	62579	62037	64541	62360	65758	64922	60680	64166	66366	67859	74325	69355	77889	81421	62800	64692	59203	58557	57615	57376	62338	63558	63062	58894	61876	69339	66922	69250	63142	62756	50171	51160	58579	61224	59833	58059	66522	67131	61744	60022	49998	52870	67370	63632	64674	65403	58417	61793	64698	65772	74191	68070	62552	61315	64120	67100	54785	56650	56560	58594	77623	73761	60832	66052	64869	59893	62415	66779	62268	63282	66037	69319	52762	52462	62722	61755	62346	64141	68909	68608	105422	97673	59412	61452	53413	55025	78345	74080	62604	65560	81624	89297	103329	103196	72662	71079	65295	64831	86945	83353	101141	100404	76012	76465	108445	104139	79502	82009	59575	62679	62315	60545	61431	59782	53859	57303	82273	77059	74926	82048	55550	55212	58498	62126	61377	62060	66497	64722	60854	65433	58733
605	498.2888		794656	798907	1284818	1302739	1139544	1151810	1137799	1149795	956698	912882	940405	891683	759228	712543	1310211	1315867	1117555	1135210	1145160	1117696	1294815	1265394	1187005	1143486	1289054	1269364	809260	785784	1340452	1299719	761030	750353	1167056	1172952	1249632	1210372	1217623	1227098	1344546	1306447	1191834	1163389	1369692	1362138	1351490	1332796	1343633	1331594	1246463	1206780	1465633	1438506	796095	810530	1200855	1173822	1328404	1310622	1186619	1170896	1344639	1343674	1318798	1314561	1327854	1339154	1225066	1206304	1341334	1312805	1032095	1030160	1237699	1199765	1188544	1160839	1089888	1086762	1181899	1167662	1295039	1279380	1427092	1401262	1260150	1271113	1257781	1277643	1337054	1304654	1317980	1327044	941519	917676	812089	788959	1255440	1243958	1190285	1225837	817595	777542	1094900	1063113	1535499	1513648	990453	917861	1465987	1430295	1153859	1134772	1416783	1413759	865470	865334	1099444	1092431	1346068	1324747	1148279	1119933	1288120	1257972	997669	940717	1083123	1027027	1165667	1139827	1206251	1178103	1093133	1114476	1146233	1149021	1167262	1177877	826347	800813	1544536	1529912	1306612	1283781	979762	956933	1144868	1115189	1044062	1038291	1316573	1315298	1240438	1254102	994811	979717	1407530	1423179	1401771	1372715	680535	645905	1358182	1350862	841969	794513	1222187	1234431	773350	739055	903499	866059	1059413	1054759	920914	888023	1231139	1201210	1193992	1182708	1341630	1349442	1206798	1183395	1361421	1367074	1005233	986857	1271534	1255162	1233932	1239963	953075	965739	2771204	2781285	864327	838235	807951	790770	1055332	996129	823761	789765	984723	966187	1490272	1430518	784332	748363	777972	777989	1060347	1018243	2723859	2677595	1017290	1001022	1642077	1624759	916883	902867	874643	845531	826300	813110	913538	877540	816971	763011	914235	897737	1009685	988963	802387	780939	971611	953778	985814	971245	1033926	991177	906804	868247	688929
606	499.2914		251748	246092	412871	430569	377809	371524	366948	379509	300770	291068	289083	280299	230618	224904	429667	420708	363407	381612	377471	374965	435144	419226	389368	376204	411868	409697	251071	246417	435238	427795	242575	233057	387017	386707	405927	399877	408066	400378	439066	434578	379813	392994	445797	442230	437995	443138	437875	427801	387632	402624	470441	463747	252521	256004	388050	389698	427703	435120	391921	386580	437149	424799	431342	424843	439194	427678	400016	391598	427175	424436	347999	343827	411029	391814	403235	391282	362051	355732	402452	376408	421628	418065	464924	455425	412151	418365	410512	431339	444467	428217	434420	428037	291599	292005	260037	261199	404002	397827	389075	403159	248975	236744	357200	344614	511617	493828	317441	293660	474225	462876	369893	368963	466445	462391	272476	271486	368257	359552	447644	443594	372533	376506	423367	420614	321148	308275	357342	333879	379619	383241	401012	393049	363422	369452	374622	384290	393362	387887	257817	255010	498333	501890	429708	418637	300590	289199	365707	357576	347368	346570	424957	430161	408218	417870	323423	325589	456275	463858	443738	447001	215202	207499	438650	439624	268817	262483	390084	399391	241124	231948	302809	288089	347252	342436	298150	289168	397728	394224	394368	380509	439713	435261	401716	392371	448148	452213	310904	294277	421433	403244	405799	408372	311998	306349	906019	918535	273024	252403	242886	246331	333554	332826	256893	241696	317710	309564	479930	463474	250491	249076	245010	247968	332785	329978	904318	891502	329990	320746	537994	528999	296832	288981	269243	268169	262672	259419	280078	266114	249394	233879	291035	290878	323259	325424	240178	238600	298216	291820	307424	295212	322811	308281	284015	277433	217633
607	503.0771		13148	14119	19005	18898	18531	19723	17776	17689	17390	16081	16250	15456	15676	15880	19951	19224	19850	20997	19241	18391	21339	20099	20044	19205	17435	18360	12971	13132	18480	16240	14670	15819	18270	18330	18679	19005	17754	19711	19672	21077	18466	16048	19223	20777	18339	17887	19471	17718	17361	19278	20017	19177	14639	14263	16725	17571	17607	17809	19019	18214	19562	18169	17713	18297	20997	20203	17483	16856	16083	18031	16624	17824	16693	20910	17019	18230	16485	19402	18810	17642	18176	16860	18987	16271	16023	17799	16836	19332	19614	17684	18725	20312	14578	16216	15077	15373	16674	18990	15167	17242	12487	14003	19138	17718	18866	18581	15762	15629	18351	16076	18419	18548	17909	17392	14056	11827	18109	15670	18774	20459	17375	17572	20326	19330	17042	15263	15648	15347	18432	18227	16772	16036	14999	15640	18651	18342	15697	16939	15354	14823	16599	19780	16284	17160	14332	14991	16825	15445	17355	16183	18323	17881	14947	18601	15758	17212	17336	17685	17830	19164	14951	13661	17290	15989	16043	15004	16720	16433	17249	16447	23693	22172	15532	15937	15328	15819	18107	18345	18716	18747	18234	19492	19240	18061	17907	17497	13935	14153	19164	16846	17037	16282	17059	17212	15827	15889	14771	14789	13562	13816	16359	15280	15412	15804	16341	14962	17793	17189	15096	14563	15539	19088	14869	17127	15522	15295	14965	15475	19799	18093	15085	13810	14392	15139	14969	15633	15434	14624	15357	14243	14295	14109	14413	15659	14418	15258	13914	14289	12582	15274	15215	15862	15174	16302	14121
608	503.161		154029	153693	171058	176601	162538	166141	156239	157463	161316	166548	155354	159983	144850	145028	178030	179887	171924	177028	161374	164747	177865	173138	156669	163398	171219	170341	148007	146928	155136	154365	124562	119554	166709	166028	170230	170227	174194	174952	182889	176771	123723	128492	181755	182223	173377	168497	156290	152143	173981	169780	176585	180989	123563	125868	170965	168702	171133	175734	171817	172800	171077	175768	164973	174858	169787	177164	166810	177185	163460	158508	141228	144765	157082	162433	151529	157244	159908	153360	166220	167085	160339	164167	167547	164954	153842	152942	154245	164004	172882	173916	170125	164611	155210	149449	154356	155604	150912	151910	157662	165099	125398	135139	149403	153446	175637	165664	149237	147012	168732	172265	153747	150410	154888	156931	109186	115735	162521	156261	168140	178372	168308	161092	166348	168225	154291	154940	160718	158039	159741	163306	146643	147260	140697	136966	153945	158277	150801	154721	138986	141212	171560	175581	162674	158755	140003	148076	155001	153854	157051	146604	167002	169367	157954	160757	144912	142836	164371	169011	163502	169141	131248	124912	159277	168117	153395	154925	159052	160499	162799	162895	256683	254784	145365	144472	152645	156582	173437	169445	159459	162621	175424	175196	169083	168738	172968	172568	153606	154476	170948	166333	165174	165615	162324	159472	50783	47300	157914	156738	137591	146639	159302	161896	154481	159986	154266	156722	184648	182745	144143	144757	164598	161404	169607	161404	47644	49497	155169	158812	189739	186559	152985	157445	145596	144138	142937	140587	157125	150305	146464	145648	159554	152121	154199	160470	139881	130014	143462	151179	141308	145653	149605	149402	152211	153942	141767
609	513.2304		50245	54362	85969	82125	84992	82595	74781	75175	60300	61816	62120	60065	54396	54316	87033	79748	75364	86937	78295	73652	79918	82374	79929	81553	86353	82612	48687	45535	85718	79324	54687	55240	79153	81361	77212	79669	77012	82837	82813	80589	81549	80301	81076	85785	80169	88040	86018	84170	81263	77352	89100	89666	57778	57560	82204	83323	83051	83747	78243	75103	81857	78037	77335	81149	75494	84742	81410	79200	85537	83214	74105	70913	81337	80214	83989	79057	73261	72682	79439	74448	79915	78138	84424	78776	79484	79024	76377	79100	83471	78660	79382	79004	56153	54347	60954	60512	75688	77150	71611	81608	47102	46805	71560	68344	84149	83396	57404	59493	83254	86876	80577	76625	79590	85894	62604	59468	76214	76346	81815	83289	78567	72048	83462	82716	68986	72279	69024	69602	75807	78787	74889	76853	71969	69381	71382	77199	73085	80156	58916	53344	88946	86698	77168	80421	47790	50480	72856	74516	68740	66946	77573	77955	74788	79489	65487	70573	79345	85980	79159	85671	56533	55125	80359	85319	63106	65035	74752	76401	61398	61253	66797	63656	71841	71867	65192	68092	77332	74996	76208	75117	80681	79238	81393	75769	74286	83123	54496	49861	77599	75383	75639	75647	63131	62665	134213	128561	53508	51179	47418	48854	71698	70481	58656	59494	73857	77997	89152	91140	59647	62259	56824	54455	72005	72382	133692	123344	71410	69193	91575	86506	72972	73416	55433	54704	57373	58138	51028	47873	50405	49524	68347	69321	67628	68954	50573	52531	52381	57710	51199	54762	60948	61875	61638	59215	50148
610	514.284		2982962	2997551	3918109	4022332	3822812	3797416	3464173	3597936	3203820	3198934	3312450	3290129	2739029	2710563	4078534	4049989	3722541	3741543	3502358	3491400	3851037	3793996	3587895	3556085	3922853	3875833	2852111	2851035	4055149	4034150	2875804	2813840	3561923	3606638	3764004	3707662	3807351	3834116	3946184	3862262	3617267	3639998	4097483	4132690	3939569	3947077	4027165	4043733	3674959	3651125	4238068	4297448	2857980	2935671	3770625	3822961	4037345	4029370	3528937	3529433	3956765	3935484	3971830	3930657	3840357	3870118	3769027	3735450	3980597	3925526	3219380	3253772	3811399	3813272	3641150	3550982	3366308	3351596	3702492	3652642	3851442	3812974	4019020	3966416	3716902	3763592	3635858	3758397	3939338	3899865	3811435	3821784	3203420	3189044	2839256	2880664	3729039	3730585	3520956	3617085	2803488	2790015	3295708	3286229	4375038	4358853	3131542	3047850	4266997	4185287	3607367	3504665	4052737	4054332	3073277	3097013	3420700	3443881	3937412	3902047	3442398	3412551	3966391	3971347	3243203	3151476	3426043	3358209	3542438	3546989	3542633	3558530	3382414	3418917	3547748	3678449	3617052	3636109	2826716	2799904	4332135	4415547	3870231	3839048	3198066	3304186	3387117	3353012	3225257	3146618	3929205	3955562	3730385	3785301	3114582	3094512	4099445	4108016	3965010	3945558	2712468	2661269	3995470	4083485	2896521	2891321	3643122	3672162	2994501	2974586	2960201	2902394	3361361	3346342	3053146	3013391	3646288	3670319	3596375	3546636	3922438	3904287	3787045	3831674	4042400	4044613	3339447	3333238	3698410	3633475	3663265	3684081	3313416	3361621	6765959	6855409	3195332	3083139	2967278	2974413	3510779	3479016	2901371	2895620	3319565	3270897	4323664	4303114	2837796	2794816	2861021	2864890	3448591	3402310	6733037	6759205	3423416	3468791	4716029	4644339	3275995	3217119	3013270	2976225	2829146	2847983	3113030	3042320	2830234	2799820	3165919	3069533	3344593	3321349	2894014	2842793	3341121	3332766	3331653	3305872	3498985	3386527	3079747	3045667	2605534
611	515.2866		885419	890114	1180944	1224417	1173116	1171774	1061203	1103480	940927	951870	988677	966620	817272	812573	1236688	1226574	1123084	1149339	1088884	1063532	1191843	1155023	1080435	1088939	1207330	1192410	862135	840590	1239688	1231895	852663	830238	1091215	1088625	1144013	1136839	1164824	1165457	1185574	1178715	1117569	1120050	1233622	1274353	1214814	1202314	1227693	1227403	1120379	1105470	1301730	1316102	873775	870897	1153654	1146481	1240811	1228842	1088089	1068900	1214158	1200805	1196312	1217282	1182646	1201638	1157420	1150272	1203992	1197746	1016118	987592	1158619	1169674	1116442	1093060	1016253	1023085	1137187	1107416	1171924	1180237	1245588	1215657	1151488	1152521	1114519	1153600	1202371	1203623	1165834	1167799	953426	942507	873394	873976	1144183	1136991	1071408	1106131	832120	823136	1020030	997972	1341881	1338845	924587	900495	1296253	1270286	1079297	1062494	1241670	1252069	918824	919619	1028868	1041771	1191355	1188162	1037529	1041794	1228334	1202437	967180	955271	1041282	1004713	1085413	1085416	1076135	1081541	1044230	1051755	1087642	1120770	1095721	1127565	845821	823647	1344753	1351239	1174583	1182757	936459	971802	1045864	1030467	986931	966484	1197969	1195892	1154270	1179944	949186	952186	1246152	1261230	1197316	1208670	816614	801448	1207567	1247146	894637	869179	1105022	1132404	896186	874738	900039	874040	1029663	1032926	916509	917159	1113966	1120912	1097035	1103962	1212923	1202841	1159955	1161557	1230575	1245078	1006650	992214	1133276	1130584	1130092	1128055	981526	972270	2202901	2191073	944823	899798	888005	860484	1053216	1043772	858047	855798	996904	973819	1340020	1325342	859986	847710	851804	846402	1037503	1037962	2187881	2169955	1018386	1026957	1473627	1459679	987946	967468	893706	889276	848088	838712	920658	889966	831188	824036	955964	932464	1014106	982255	851138	850877	981047	974448	992458	972554	1050581	1003309	919184	919079	768973
612	519.2972		19671	18910	22563	21473	23214	25313	23425	21518	18618	18798	16017	19424	17858	17578	23934	23546	21031	24116	22894	23222	21378	25624	21938	21125	25988	23570	16428	18567	21861	22823	15353	16517	22301	22004	22101	22810	24171	23363	25975	23449	20744	22334	23169	25987	23746	22376	23757	24192	23241	21948	25025	25176	16538	17045	21349	23037	25404	22061	22641	22437	24602	23261	23782	22983	24349	23717	25065	23620	22226	22926	20791	21544	23001	20591	23466	22837	20641	20295	22451	23119	22577	24346	25424	25951	23252	21532	24194	24590	22686	24308	23356	24895	17048	19021	21009	20982	22111	21354	21381	22811	17339	16802	21757	21455	26798	27265	20265	19329	24797	22894	21113	22427	23228	23188	17380	17554	20547	18792	26519	22406	20979	19466	24253	25680	24455	23158	25258	25642	22071	21747	22389	23642	21233	19843	21742	24185	20005	21354	15685	15570	29092	27043	21280	23842	18706	17242	21281	21614	22241	21776	21197	23155	23969	23857	21992	19025	25304	23207	22678	21657	16614	15884	24349	22396	19889	20334	20483	23389	17281	17803	19608	22171	20929	20481	22726	23177	21920	24420	21092	20031	26169	23174	23021	23297	22505	24538	19307	19320	23373	20370	23577	22524	22133	21993	36907	38113	25393	16164	18276	19822	22594	23546	18097	18737	18845	20988	26102	25298	18305	19453	18795	18892	18041	20515	35236	36305	21256	23849	30127	28597	21198	18884	19298	18503	19847	18789	20614	18179	15344	16248	21018	19421	21652	23277	19024	17656	21399	19498	20758	20070	21253	20227	18908	20904	16602
613	522.2605		37453	40247	50610	53960	46832	48503	48464	53433	40149	41414	45035	44594	37908	37469	51692	49042	49797	55228	47651	50998	52063	53863	47756	48285	51715	54171	35993	33226	50802	52781	36879	34228	49510	50105	47050	50595	42963	46400	55180	49047	47709	47049	54847	53316	51421	52270	51834	50761	51088	51664	52336	55826	39424	37144	49869	49580	51418	50609	46638	48230	52032	51727	48675	51238	52255	52336	50011	50156	52926	50885	48664	48686	50576	48730	51192	49207	47203	46177	50692	49230	47251	51798	57263	52022	49987	50195	45396	50679	49557	48002	48501	50059	41490	39502	40064	40920	48047	51343	46465	48887	35659	34548	46506	46629	47974	48885	40492	44868	52098	50566	45528	47003	51783	49855	38283	39312	48623	48323	52498	51724	42748	48829	52815	47888	44715	45641	48144	49030	47251	50154	49562	47733	42971	48524	49004	47972	49574	47709	37312	36496	48376	49664	48990	46921	39107	40588	48642	48626	44463	47437	49666	49802	43540	45447	42284	46985	48611	52652	49201	49289	33512	35072	48478	51546	42120	39900	45896	52094	35935	36658	43236	43558	50597	45464	43234	41836	45610	47447	48161	46538	49903	50693	51975	50062	52076	49490	39593	38526	45715	45316	51319	48104	44923	43825	69703	68324	35972	37638	38839	36070	43416	42376	39971	39397	47545	49439	48301	49867	41408	38145	40982	37425	47863	42377	71737	68593	47706	45556	49267	47778	43231	43869	37492	39302	38947	40999	40144	35467	35513	35906	42865	40417	44187	47843	39386	35490	38353	41565	45033	40413	41251	40259	39138	41214	38578
