ionIdx	ionMz		246 / F5_261_PE_T16_4_F5_261_PE	247 / F5_261_PE_T16_3_F5_261_PE	248 / F5_261_PE_T16_3_F5_261_PE	249 / F5_352_PE_T16_1_F5_352_PE	250 / F5_352_PE_T16_1_F5_352_PE	251 / F5_260_PE_T16_4_F5_260_PE	252 / F5_260_PE_T16_4_F5_260_PE	253 / F5_259_PE_T16_2_F5_259_PE	254 / F5_259_PE_T16_2_F5_259_PE	255 / F5_263_PE_T16_4_F5_263_PE	256 / F5_263_PE_T16_4_F5_263_PE	257 / Neg_PE_T16_1_no_PE	258 / Neg_PE_T16_1_no_PE	259 / F5_353_PE_T16_4_F5_353_PE	260 / F5_353_PE_T16_4_F5_353_PE	261 / cfMRS_4_no_no	262 / cfMRS_4_no_no	263 / F5_350_PE_T16_2_F5_350_PE	264 / F5_350_PE_T16_2_F5_350_PE	265 / F5_261_PE_T16_1_F5_261_PE	266 / F5_261_PE_T16_1_F5_261_PE	267 / F5_350_PE_T16_1_F5_350_PE	268 / F5_350_PE_T16_1_F5_350_PE	269 / F5_260_PE_T16_3_F5_260_PE	270 / F5_260_PE_T16_3_F5_260_PE	271 / F5_354_PE_T16_5_F5_354_PE	272 / F5_354_PE_T16_5_F5_354_PE	273 / Neg_PE_T16_3_no_PE	274 / Neg_PE_T16_3_no_PE	275 / Neg_PE_T16_2_no_PE	276 / Neg_PE_T16_2_no_PE	277 / F5_354_PE_T16_4_F5_354_PE	278 / F5_354_PE_T16_4_F5_354_PE	279 / F5_260_PE_T16_1_F5_260_PE	280 / F5_260_PE_T16_1_F5_260_PE	281 / F5_353_PE_T16_1_F5_353_PE	282 / F5_353_PE_T16_1_F5_353_PE	283 / F5_261_PE_T16_2_F5_261_PE	284 / F5_261_PE_T16_2_F5_261_PE	285 / F5_263_PE_T16_1_F5_263_PE	286 / F5_263_PE_T16_1_F5_263_PE	287 / F5_259_PE_T16_5_F5_259_PE	288 / F5_259_PE_T16_5_F5_259_PE	289 / F5_259_PE_T16_4_F5_259_PE	290 / F5_259_PE_T16_4_F5_259_PE	291 / F5_261_PE_T16_5_F5_261_PE	292 / F5_261_PE_T16_5_F5_261_PE	293 / F5_262_PE_T16_5_F5_262_PE	294 / F5_262_PE_T16_5_F5_262_PE	295 / cfMRS_5_no_no	296 / cfMRS_5_no_no	297 / F5_352_PE_T16_4_F5_352_PE	298 / F5_352_PE_T16_4_F5_352_PE	299 / F5_353_PE_T16_5_F5_353_PE	300 / F5_353_PE_T16_5_F5_353_PE	301 / F5_352_PE_T16_3_F5_352_PE	302 / F5_352_PE_T16_3_F5_352_PE	303 / F5_260_PE_T16_5_F5_260_PE	304 / F5_260_PE_T16_5_F5_260_PE	305 / F5_354_PE_T16_2_F5_354_PE	306 / F5_354_PE_T16_2_F5_354_PE	307 / F5_351_PE_T16_1_F5_351_PE	308 / F5_351_PE_T16_1_F5_351_PE	309 / cfMRS_1_no_no	310 / cfMRS_1_no_no	311 / PE_C_256X_pollen_dilution_series_no	312 / PE_C_256X_pollen_dilution_series_no	313 / H2O_B_3_no_no	314 / H2O_B_3_no_no	315 / H2O_B_4_no_no	316 / H2O_B_4_no_no	317 / H2O_A_3_no_no	318 / H2O_A_3_no_no	319 / PE_C_4X_pollen_dilution_series_no	320 / PE_C_4X_pollen_dilution_series_no	321 / PE_B_1X_pollen_dilution_series_no	322 / PE_B_1X_pollen_dilution_series_no	323 / PE_A_32X_pollen_dilution_series_no	324 / PE_A_32X_pollen_dilution_series_no	325 / PE_C_2048X_pollen_dilution_series_no	326 / PE_C_2048X_pollen_dilution_series_no	327 / H2O_A_1_no_no	328 / H2O_A_1_no_no	329 / PE_A_2X_pollen_dilution_series_no	330 / PE_A_2X_pollen_dilution_series_no	331 / PE_A_512X_pollen_dilution_series_no	332 / PE_A_512X_pollen_dilution_series_no	333 / PE_B_4X_pollen_dilution_series_no	334 / PE_B_4X_pollen_dilution_series_no	335 / PE_B_32X_pollen_dilution_series_no	336 / PE_B_32X_pollen_dilution_series_no	337 / PE_C_64X_pollen_dilution_series_no	338 / PE_C_64X_pollen_dilution_series_no	339 / PE_B_256X_pollen_dilution_series_no	340 / PE_B_256X_pollen_dilution_series_no	341 / PE_B_64X_pollen_dilution_series_no	342 / PE_B_64X_pollen_dilution_series_no	343 / PE_C_1024X_pollen_dilution_series_no	344 / PE_C_1024X_pollen_dilution_series_no	345 / H2O_B_5_no_no	346 / H2O_B_5_no_no	347 / PE_C_1X_pollen_dilution_series_no	348 / PE_C_1X_pollen_dilution_series_no	349 / PE_A_4X_pollen_dilution_series_no	350 / PE_A_4X_pollen_dilution_series_no	351 / PE_A_256X_pollen_dilution_series_no	352 / PE_A_256X_pollen_dilution_series_no	353 / PE_B_8X_pollen_dilution_series_no	354 / PE_B_8X_pollen_dilution_series_no	355 / H2O_C_2_no_no	356 / H2O_C_2_no_no	357 / H2O_A_2_no_no	358 / H2O_A_2_no_no	359 / PE_C_512X_pollen_dilution_series_no	360 / PE_C_512X_pollen_dilution_series_no	361 / PE_A_1024X_pollen_dilution_series_no	362 / PE_A_1024X_pollen_dilution_series_no	363 / PE_A_8X_pollen_dilution_series_no	364 / PE_A_8X_pollen_dilution_series_no	365 / H2O_A_5_no_no	366 / H2O_A_5_no_no	367 / PE_A_2048X_pollen_dilution_series_no	368 / PE_A_2048X_pollen_dilution_series_no	369 / H2O_B_6_no_no	370 / H2O_B_6_no_no	371 / H2O_C_6_no_no	372 / H2O_C_6_no_no	373 / PE_B_16X_pollen_dilution_series_no	374 / PE_B_16X_pollen_dilution_series_no	375 / PE_C_2X_pollen_dilution_series_no	376 / PE_C_2X_pollen_dilution_series_no	377 / PE_B_2X_pollen_dilution_series_no	378 / PE_B_2X_pollen_dilution_series_no	379 / PE_C_128X_pollen_dilution_series_no	380 / PE_C_128X_pollen_dilution_series_no	381 / H2O_A_4_no_no	382 / H2O_A_4_no_no	383 / PE_B_128X_pollen_dilution_series_no	384 / PE_B_128X_pollen_dilution_series_no	385 / H2O_B_2_no_no	386 / H2O_B_2_no_no	387 / PE_A_128X_pollen_dilution_series_no	388 / PE_A_128X_pollen_dilution_series_no	389 / H2O_C_1_no_no	390 / H2O_C_1_no_no	391 / PE_A_1X_pollen_dilution_series_no	392 / PE_A_1X_pollen_dilution_series_no	393 / H2O_A_6_no_no	394 / H2O_A_6_no_no	395 / H2O_B_1_no_no	396 / H2O_B_1_no_no	397 / H2O_C_4_no_no	398 / H2O_C_4_no_no	399 / PE_B_2048X_pollen_dilution_series_no	400 / PE_B_2048X_pollen_dilution_series_no	401 / PE_C_32X_pollen_dilution_series_no	402 / PE_C_32X_pollen_dilution_series_no	403 / H2O_C_3_no_no	404 / H2O_C_3_no_no	405 / PE_B_512X_pollen_dilution_series_no	406 / PE_B_512X_pollen_dilution_series_no	407 / PE_A_64X_pollen_dilution_series_no	408 / PE_A_64X_pollen_dilution_series_no	409 / PE_C_16X_pollen_dilution_series_no	410 / PE_C_16X_pollen_dilution_series_no	411 / PE_C_8X_pollen_dilution_series_no	412 / PE_C_8X_pollen_dilution_series_no	413 / H2O_C_5_no_no	414 / H2O_C_5_no_no	415 / PE_A_16X_pollen_dilution_series_no	416 / PE_A_16X_pollen_dilution_series_no	417 / PE_B_1024X_pollen_dilution_series_no	418 / PE_B_1024X_pollen_dilution_series_no
473	317.0302		115945	98664	92165	64405	61792	678875	651627	103199	103921	229553	218992	17631	15562	17244	18717	24517	24094	413203	423357	137394	142821	473135	452120	823558	773394	135736	140526	16045	37289	15710	32875	138515	134068	674596	635279	74822	80224	105905	108349	313171	301485	95139	95403	89866	84227	113819	108805	34670	32606	65639	27459	84025	84405	47913	19585	73150	68111	716863	668907	150408	154244	20566	19332	73837	75670	13934	14059	8614	17909	9411	8643	9356	9450	73957	20277	87795	86022	19615	21269	11836	12538	9619	9343	61821	59605	16349	13412	76527	66614	19614	19374	19097	16829	13808	13029	18528	17990	10839	10909	10321	10312	90650	86493	64184	63682	17531	17350	56160	54742	10829	11228	10545	10096	11470	13154	11810	10092	19670	47987	11927	12210	12865	14371	9317	9950	10698	9889	19270	42003	97964	95605	93831	88678	22205	18465	12297	11594	16389	17508	11824	11345	15376	16383	9088	10597	66938	62288	19541	19679	12452	12134	10442	11058	11123	10331	19288	19353	9023	10652	11678	12937	17428	18053	20226	20809	55423	51011	10989	11409	19710	20805	11653	12635
474	318.0934		28489	26616	25017	28085	26757	27683	27405	32846	29224	29770	29009	30152	29115	26029	23770	34577	33700	29571	31506	27555	29829	29999	31080	32402	32226	32857	32642	27541	28678	26940	26265	25638	25123	28046	31398	25486	24814	26259	29086	29246	30900	31136	33347	32301	29697	30172	27551	27237	32060	33306	29701	28445	26888	24199	24545	28110	28654	29682	29768	28813	29077	24805	27948	37445	35210	7718	6644	2401	1396	2663	2198	2168	1561	18807	17087	22040	23933	11352	11584	2436	1922	1347	1435	23602	20644	3081	3102	16876	17047	7725	7957	7296	5813	2285	3883	6233	5090	1681	1990	2198	2249	24776	25470	17758	18658	3390	4607	15621	13999	2096	1850	1782	1692	2050	2065	2012	1698	16152	15104	2114	1398	1135	1641	887	999	1446	773	12436	13726	20768	22706	21559	22133	5366	5373	1227	1476	4095	4576	1677	1657	4645	4181	1025	941	26150	27536	5005	3539	1446	2059	1496	1756	1523	1434	8614	8915	1380	527	1434	1958	6029	6644	12490	10463	14487	14927	1841	1517	11758	11085	1885	2226
475	319.0461		22005	21564	23327	19739	26142	22648	21080	19299	19223	21672	23532	18109	19062	21710	19442	19449	16467	22808	21328	22482	22540	23020	24103	24426	25954	20512	20604	18124	22109	19459	19441	22925	21895	22191	23871	19711	20142	20800	22262	22646	22476	21714	21069	22020	22186	20721	22743	22538	21198	17507	16938	24275	23333	21024	22745	20122	20254	23510	24402	21496	22218	21635	19621	18418	19550	15364	13019	13473	12703	11748	12232	12332	13370	26788	25891	28150	32749	15650	17178	13490	13329	12448	12184	29289	29067	14676	13896	26102	26424	16722	16862	14899	15788	12985	13681	16303	16146	12613	12780	13998	13391	32377	32340	29164	27751	15158	15261	24579	22448	13561	13939	12546	12787	13616	13401	12443	13423	24805	24605	12695	12904	12934	12233	11638	12660	13171	12969	20404	20426	32323	30710	31023	33129	16825	16610	14210	13920	14390	13612	13626	12427	13735	14517	12073	13532	31129	32830	16454	14278	12678	13360	13086	12607	14122	13618	16201	16542	12387	12421	12583	13097	15476	14431	19666	21551	22663	23461	12885	12174	19867	19304	12930	12672
476	319.1073		28387	27663	28547	27468	26658	25556	28937	30786	27745	26025	24305	30746	29419	23504	24611	35781	36321	27802	30641	27487	28792	28619	28161	29508	31783	30485	32830	28885	29144	27687	27651	22716	25080	26928	27595	22725	23500	26672	24648	25273	24481	28598	30234	26893	29776	29374	30627	28434	28904	32073	36701	28236	28057	23882	23954	26886	27633	27649	28364	28804	27809	23672	26480	37212	37365	6134	6794	3639	3485	3383	2299	3595	2929	35570	36489	50392	52022	14924	15219	3850	3515	3828	3123	40996	45996	6400	5423	34507	35697	12279	13050	7900	9147	4449	4579	7612	8655	3458	3520	4556	3615	52345	55851	37771	38483	7585	5389	31319	32263	3973	4147	3892	3658	4310	3228	3351	3629	28493	28573	3333	2820	4454	2963	3300	3154	3296	4243	20895	19593	46752	44677	48336	46209	9050	9188	3869	4666	6518	6716	3661	3246	5370	5864	2916	2914	56251	53578	6943	5788	3700	3776	3351	3241	3598	3761	15293	14772	2609	3358	4428	3899	7657	8382	17210	20566	25845	25685	3574	3562	19234	20539	4124	3996
477	320.1452		22083	19096	22307	20633	19437	22414	21727	22153	23449	21321	20343	28905	31357	19274	21328	41501	43638	20355	23828	24195	22148	22872	23390	23173	26403	21843	22976	30014	28395	26484	27796	12358	14584	22542	24826	21417	19003	24225	22945	22853	22416	24715	22812	22899	21710	23502	24639	27262	26873	44786	40808	21855	21845	20010	21416	20982	17648	21550	26050	16942	19306	26841	24798	46093	48975	3635	3645	1544	1894	2127	1784	2039	1828	5838	5682	8856	10094	3030	3060	2076	1404	1318	1581	7236	6797	1931	2446	6005	5574	2381	2653	1423	2175	1605	1991	1838	2881	950	2186	1641	1787	9875	9466	5401	4912	1861	2158	4118	3794	1444	1799	1874	1442	1427	2060	1578	1772	3711	3912	1980	1491	1598	1764	2399	1535	1546	1568	3071	2776	6779	7390	6482	8031	1915	1871	1277	1755	1764	1764	1963	1296	1640	1769	1456	1761	10226	10193	2035	2368	1294	1279	1780	1472	1557	1491	2909	2721	1104	1554	1762	1592	2153	2069	3001	2388	3934	3719	1110	1671	2605	3591	1045	1393
478	321.0243		43367	46643	46938	49426	46124	48202	45123	42720	49979	48785	51168	44722	40032	44855	46933	37354	36807	44122	50197	53348	45583	47409	48437	48368	48510	47754	46568	46716	46014	45787	48227	53563	51601	52862	43621	46164	47677	48929	51057	47546	50323	40662	39902	47625	48236	44413	46504	43917	42886	28923	30375	44721	50023	48962	47333	46295	49696	45219	48417	50902	51249	41596	45579	32726	30901	36456	39982	45618	41305	45928	48025	50795	48571	122970	121852	99494	95078	73956	70108	40879	40778	50186	48027	110290	106023	50417	50531	121627	120692	60832	60927	56620	54510	46899	45240	57885	60473	43905	46148	45810	48447	104294	103332	130305	121232	53143	51922	117701	117806	43899	44444	47720	48716	48638	49963	51323	48120	117284	111802	47755	44154	48895	45697	43869	48021	47290	46845	85774	88797	112425	114485	114376	112280	58099	57322	49514	49151	54486	51744	48803	49360	58110	56650	51551	48668	103691	99645	53535	52329	51690	50033	37535	36177	48003	49863	71388	65489	44476	40324	46702	44563	58743	61208	79938	88330	107674	106924	46582	51661	77648	81239	35979	35702
479	321.1304		21964	18808	22366	23784	21683	24009	24838	25576	26697	23939	28352	28977	31608	25299	25233	35009	33253	24694	28502	20986	21518	27243	26683	25838	27055	24020	26384	29127	29149	27617	26908	20636	19210	25898	26306	21293	22555	22173	21599	25457	28141	26984	24889	24261	26002	22260	22903	26956	27752	32678	33720	26354	23855	22794	23439	21720	23612	26167	27362	24777	23304	23490	21774	35498	36079	8333	7737	4643	4129	4520	3795	4216	3761	20296	17713	42763	40433	8608	9652	4216	3740	4443	3705	28513	29680	4157	4816	20510	19538	7040	8739	6428	7372	4580	4659	6626	7988	4957	4301	4619	6061	41447	37234	23410	23462	5943	5363	14813	17146	4353	3927	4146	4197	3578	4734	4800	4624	15418	14386	3875	4809	4069	4147	4573	4024	5224	4525	12036	11760	30014	31827	32187	31927	7262	6536	3422	4165	5892	5138	3824	4085	6645	4643	3656	4417	42159	40537	6510	6349	4353	4347	3869	4801	3231	4383	8606	8077	3774	4383	4637	5125	5527	7822	11953	12147	14894	14452	3802	3745	9989	12301	4426	4033
480	321.1717		20652	17080	16959	20178	18594	22334	18162	20162	19058	20769	22309	34847	33743	21872	18803	41627	40716	22921	23102	22340	20611	21994	18347	20713	21558	19289	21805	30204	30461	30497	29932	15347	17180	30826	26527	21497	19496	20458	15540	21618	20949	21809	20609	20201	20502	20607	21777	24506	23470	40446	39423	21811	19537	20283	21543	17013	16968	20114	23994	21749	23230	23555	23013	39272	40173	15085	13294	18272	19796	15456	15380	11075	10271	15904	15415	26228	25282	12818	12711	11875	11891	12130	10672	21203	19026	12332	11918	14606	14120	14549	12055	10862	10395	16760	14360	14130	15704	11993	12506	15800	13730	26982	26214	16064	15287	17527	16447	14782	12280	13635	13381	12613	12656	13653	12866	12577	10979	14805	13147	11911	11588	9495	10169	9886	10221	9503	10869	13912	10758	19728	24501	21855	21986	11356	10461	9937	11142	11798	11404	10692	13298	14455	15842	12085	11648	26610	27247	13450	11419	11855	10608	8398	7922	12111	10291	12525	12788	8127	9181	12967	13033	13182	11297	13116	11538	11797	10956	7820	9478	12305	13045	12249	12771
481	321.2081		11611	10567	11305	8107	8000	7614	7740	7436	7766	9370	10244	11582	12385	8761	7685	12466	10965	8989	8520	11711	10252	9254	8660	8434	9955	9020	8534	11590	10216	9543	11116	8165	7018	8353	8084	8430	9821	11673	11855	9338	8395	8418	8152	8321	8046	10718	13980	10067	8790	10363	11301	8873	7607	9087	8595	9546	7559	7738	8369	8539	8596	10859	10316	12975	13223	7322	8796	8265	6741	7588	8154	7251	6702	7700	8481	8919	10222	9510	7368	7939	7402	7696	8773	8178	8937	8405	8796	7935	7860	7716	8274	8994	8389	8027	7881	8646	7741	7752	8137	7956	7679	9220	10259	8613	9015	9697	8449	8826	8442	8097	7742	7153	7289	7812	8150	8289	7002	8922	9772	7959	8480	6504	7531	8114	7691	9206	8090	8998	9030	8245	10329	8344	8579	8295	9139	7693	8509	7552	7715	9270	7134	9093	9019	8196	8623	10052	8799	9939	8312	8201	7949	8582	7976	8219	7318	8100	8419	8473	7722	7800	7616	8392	9216	9437	7739	9063	7518	6875	7283	7745	8714	7569	7523
482	322.0446		32026	30183	27608	30133	32511	22190	23553	23956	25117	39552	42224	76032	74346	34044	35772	59541	56433	30967	32837	33620	33476	30019	33737	23821	26035	37496	36838	72217	74183	72054	71748	32294	30509	23471	23906	33858	35602	33570	33265	40123	38136	22854	24146	26078	23288	32209	30109	25563	25865	55200	55246	35304	36123	33794	34211	31814	30497	24822	25522	31798	35262	21596	19804	58335	57867	15373	12126	4791	5031	5057	3817	5912	4298	85781	88419	148901	153289	28232	27337	6926	4101	4651	4167	120016	120224	10386	8313	92842	89143	21733	25609	14414	16005	7103	7253	15610	15811	4162	4500	5567	5869	161244	151956	89985	99877	10402	9776	62280	62002	4884	6130	4821	4232	5139	5554	4353	3971	61296	59588	5788	4945	4457	3811	4732	3587	3988	4359	39281	38908	131688	128366	133194	129097	14154	12045	5570	5759	9340	10104	4553	4675	10298	10439	3854	4220	157967	161993	12176	10899	5717	4751	3863	3824	5395	4039	21662	24445	3676	3762	5307	5236	16330	14505	37570	44307	58454	57562	4235	3718	37830	38890	3865	4917
483	323.0283		66602	68640	70216	63513	69647	45398	49822	47858	49203	64903	67157	124722	126910	45749	45110	87289	85756	82394	82896	73433	72931	89048	83439	54231	53022	74401	67506	118717	116903	117891	121062	70483	70775	48069	52431	44151	42235	71414	75641	65699	69522	50417	47743	51350	55141	72971	73472	60020	60143	83437	81087	68670	73690	41990	45708	66416	64709	53620	50270	67003	69832	48078	44333	84292	83434	23155	23530	9429	8034	10568	7805	9984	8700	125098	126064	205557	216719	52202	50793	11718	10669	9336	8638	155448	162804	18523	17476	123016	126387	43712	41758	26660	27397	14078	13846	26800	29401	9908	9872	10465	11484	221116	212992	136221	133358	20858	18253	98652	101563	10612	9386	9358	9565	9600	11380	11234	10111	98893	96373	10830	9934	8509	7754	7818	8627	7736	7186	74461	69741	183304	183838	173153	174808	27559	22197	9313	11401	17130	18716	9394	9350	17921	20098	8351	8533	222190	221797	21642	18155	10799	10883	10373	10364	9559	9883	47623	45961	7824	7587	9363	9632	29790	25913	71344	66539	93697	94183	9062	8830	65449	63163	10247	10705
484	323.0982		56298	48962	56225	56922	59029	56385	53245	56538	57075	55306	55081	46355	47095	46575	48910	38845	38223	55062	61145	61166	58501	56034	60850	58890	57702	65193	65637	45634	45175	46482	44884	54992	60122	54899	53100	44458	49390	54853	58212	56473	55781	59512	58200	54513	60339	59283	60194	54039	54800	35074	31667	60272	63927	45801	46284	56118	59857	54334	54562	58387	58934	52153	48923	36984	35300	12180	13036	7188	6051	5536	4316	5851	4942	100687	100022	151317	153456	43252	38807	10514	7030	5557	6388	124973	130970	15562	15209	97572	102942	33569	35762	23456	20929	9927	9639	22471	21068	5685	6931	7454	6441	159584	161547	112506	105006	17671	14882	78438	73389	8718	8065	5834	5441	7937	8408	7937	7230	79179	76832	7035	7847	5164	6048	5020	4727	6550	6358	51151	54570	131774	141277	136731	136476	25131	20768	7542	6907	14846	16718	5902	5403	13026	14981	5599	5477	159959	169378	18575	13833	6771	6373	6988	6701	6652	6396	32734	34741	6208	5445	7785	8689	22874	21651	51622	56587	73514	68691	6950	7556	47434	52307	7852	7756
485	323.1456		28928	28804	27203	24937	27680	27929	29861	29725	33644	32038	33849	27767	26957	25006	23640	38912	35075	33086	32195	29338	31855	33604	33805	32700	35397	29035	30468	27594	27094	26470	26701	21771	22985	31613	32564	26398	25178	31241	28909	29649	31362	30170	35189	33482	33474	30705	32227	33269	33386	34125	32845	26338	27279	26041	27554	24168	23952	33909	30550	25752	28939	27099	26768	36660	39547	6908	6475	4016	2944	3634	4413	4546	5163	11168	10310	18206	19148	6422	7582	3842	3652	2927	3601	16347	14001	3905	4184	10960	11927	5236	5518	4053	5063	4434	4773	6303	4537	3941	3742	5036	4669	19792	19354	14161	12969	5431	3570	9633	10435	3595	3753	3346	3759	3705	3617	4415	3991	8799	9677	3607	3878	3869	4386	3035	3531	3750	4251	7455	8188	15963	15610	16581	14631	4330	4893	3892	3057	3410	3689	3047	2975	5320	4431	3575	3863	20452	19399	5701	5309	3299	4063	3449	3142	3837	3891	6054	6122	3332	4070	3003	3787	4593	4683	8244	8319	10042	8039	3772	4464	7186	7384	3659	3155
486	323.1696		19530	19763	19895	19193	19063	17319	20459	21302	19425	23889	21689	22870	20734	18876	19718	27054	28271	23759	22558	22483	22042	22087	22574	21392	24049	22304	22239	21287	19744	18310	22516	17195	16623	22564	20955	20997	19556	20458	21187	21152	22923	21418	21191	20523	20461	20644	21051	23443	22544	26501	28340	20268	20093	20197	18246	19608	18985	21015	21698	19918	20373	20097	21704	30502	29935	9739	8716	8868	8019	7191	6209	6748	6643	12322	11661	13279	12217	9568	9207	6306	6406	6250	6140	11210	11233	6639	5958	9783	11271	6954	8865	7697	6560	7470	6493	6690	7424	6859	6960	7396	5739	14055	14792	10254	10524	8178	7646	11197	9652	7410	7326	6433	7606	7826	6219	6516	6261	10203	8683	8024	6979	7061	6594	8381	5582	7362	6756	8502	8253	12007	12987	12611	11905	8389	6448	6415	7103	6773	7011	5395	7191	6829	8374	6050	5772	14402	15911	7305	5453	7639	6775	6063	6504	6122	7376	8169	7572	6608	5366	6222	6841	6957	6548	9577	8743	10741	8949	6410	7509	9709	9469	6154	6479
487	324.0735		14831	10655	12507	13672	12843	13201	12591	12482	13839	12643	13311	17923	18845	11716	12099	17269	15058	13858	14090	14163	13704	13003	15889	15073	14931	13143	13144	18476	18263	18137	16405	13447	12125	13944	13470	12943	11717	12722	13173	14839	14424	14478	11991	13135	13267	12154	12418	13158	13770	15671	14451	14178	13832	13370	12611	14390	11825	12890	12867	12867	14170	13325	14168	15403	15228	4689	3624	1684	1986	1708	1255	1149	1746	12589	12582	18696	20933	6818	7688	2103	1677	1329	1776	18052	16268	3014	2497	13505	12562	5400	5934	4596	4528	2710	2010	5043	3375	1581	2125	2939	2104	20646	20149	13717	14125	3065	3327	9321	10023	1849	2147	1709	1923	2154	2206	2013	1952	9037	9346	1750	1759	1530	1851	1620	1965	1562	1753	8968	7633	17664	17356	17115	16592	4529	3853	2406	1683	3034	3430	1598	1884	3425	3543	1788	1620	21339	22970	2810	2847	2103	1888	1455	2192	1475	1935	6546	6966	1815	1222	2397	1808	3964	4189	7766	8110	10326	10529	1611	1432	8046	9092	1959	1802
488	325.0934		26296	20861	23662	23775	23993	21833	22284	24241	21810	20240	26568	25912	26735	23988	24197	20261	19752	24216	22735	24796	20991	22281	22648	20746	20672	23654	27086	27250	24605	24669	24811	23617	27948	22129	22514	21216	23521	21792	26085	22929	21945	24743	26358	25907	23356	25465	25183	24363	23701	20893	20780	26415	23267	22818	25975	21065	24582	19853	21435	23603	27963	23514	25962	18387	21941	6330	7008	5087	4319	3994	5274	4513	4781	37276	34749	52263	51997	17576	16918	4978	5154	5037	4007	41916	43310	8241	7278	36205	35205	13587	13203	10111	9313	5806	5408	9372	10411	4715	5424	5062	5616	52797	48234	37983	38506	7791	6596	28707	27468	4520	5119	4395	4516	4864	6047	4802	4625	30730	29416	4514	5463	4443	4480	4689	4562	4962	4148	20051	20183	45129	48202	47489	46700	10749	10223	5603	5861	7782	7304	4126	5096	8123	8125	3977	4411	55088	53067	10433	9532	5609	5725	4366	3733	4787	5587	14617	13602	3881	4532	4263	4693	10298	10387	19183	20648	29319	28088	4557	4697	18764	20895	4451	4789
489	325.2017		48261	44786	44547	47509	50008	46714	46344	50667	48616	56007	54309	67838	71654	48194	53856	41977	39468	49603	54063	52551	51465	51100	52068	52197	50478	49473	51452	64958	65753	61381	62174	59304	57893	49792	50051	55800	52735	48044	53522	58035	53309	51515	51433	48849	53281	49176	48052	54039	54041	37299	38754	53848	53922	49915	51124	49916	47997	50058	47869	53833	51666	59835	52848	54267	54088	22647	21763	19310	18371	18325	17678	18795	19912	76244	78752	163063	160691	35651	33159	19155	18417	19591	18695	120026	110347	24013	22033	76668	79454	25530	27568	23220	22418	19349	18172	23783	21776	19373	19541	21529	19764	167616	175868	86659	82561	23743	22990	56226	52457	21230	19251	19657	19560	21187	20640	20872	21889	55108	53077	20466	18981	20013	18613	19178	19837	20710	20173	35959	33026	123848	121001	123988	123785	26333	25664	19504	21499	21809	21037	20613	20391	22127	21916	20670	20857	167564	163613	30609	27607	21002	19885	19708	19490	21027	20327	28503	26974	19265	19347	19409	20290	23033	24265	35216	32844	51287	50083	19315	19007	31257	33020	20032	20007
490	326.1795		78252	75165	71613	77669	79957	79878	75430	78394	77104	82854	83427	110777	103399	79334	81541	180725	184605	80463	83300	79406	74619	79866	81143	86013	83017	81650	83295	109898	105347	98992	98770	57653	51537	77346	75418	78195	82707	80070	75903	87181	83561	82716	82148	86411	78446	79562	77249	86812	81933	170991	181699	89353	84895	76597	80658	75380	80162	81545	80541	78190	77308	84435	75283	194341	204438	11634	10990	8133	8620	8028	6509	6603	5331	10163	9212	12426	13644	8312	7295	15336	14745	5693	5245	14815	11560	7247	7238	11372	9941	14813	12739	10463	10172	6072	6579	7824	6641	8516	7105	6864	6736	14930	14909	12107	13325	7973	10176	10626	10307	9514	9793	5672	5576	7868	7117	7029	6561	14657	13741	5713	5908	8241	8971	6995	7398	7978	8051	7669	6829	12743	13280	12780	12988	8854	10176	7644	7210	9179	9596	9262	8646	6920	6750	5269	6679	19578	21013	6745	7584	6722	5481	5502	5618	8908	8103	9805	8764	7693	9041	8062	7696	8490	6895	6914	8667	8097	8081	5797	6393	11630	11200	4959	4890
491	327.1084		33754	33323	37776	34892	37797	34806	34122	32395	34857	33618	35771	26691	28928	29957	31322	27129	26683	36727	37000	40048	37669	37694	36395	36374	36350	37281	41627	27578	26446	21162	19532	39018	36148	34474	34019	31025	29501	37472	36415	33814	35498	35231	36588	36868	36965	34512	38059	37286	38278	27198	27611	36781	35440	30750	31959	38249	35618	33361	33543	34778	39609	32423	33126	22254	26107	4030	4905	3393	3503	2892	2642	2293	3065	23776	25717	49340	53066	9544	8779	3695	3369	2543	2242	37941	37987	3801	4819	23535	24106	7508	9452	5805	6651	4141	2990	4934	6948	3523	2699	3430	3697	50804	51199	27665	28734	4884	3506	18505	18788	3054	2958	3384	3033	3447	3400	2826	3949	18714	18820	3278	3152	2928	3004	2979	2374	2916	2742	11778	11553	37685	38402	39242	41218	5649	5475	3211	2604	4073	4744	3262	3255	4340	5162	2812	2675	56356	56387	5360	4936	3043	2100	3338	2750	2814	2796	6618	8420	3326	2663	3514	3316	6351	5987	11282	12182	16187	15929	3088	3036	11970	10696	2889	3215
